Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
1989/09/20,04:00,2.55,2.426,-,-
1989/09/20,05:00,2.483,2.38,-,-
1989/09/20,06:00,2.236,2.167,-,-
1989/09/20,07:00,1.849,1.823,-,-
1989/09/20,08:00,1.415,1.414,-,-
1989/09/20,09:00,1.055,1.049,-,-
1989/09/20,10:00,0.886,0.866,-,-
1989/09/20,11:00,0.98,0.884,-,-
1989/09/20,12:00,1.32,1.128,-,-
1989/09/20,13:00,1.799,1.545,-,-
1989/09/20,14:00,2.265,2.015,-,-
1989/09/20,15:00,2.607,2.365,-,-
1989/09/20,16:00,2.796,2.597,-,-
1989/09/20,17:00,2.831,2.682,-,-
1989/09/20,18:00,2.696,2.566,-,-
1989/09/20,19:00,2.397,2.31,-,-
1989/09/20,20:00,1.993,1.923,-,-
1989/09/20,21:00,1.576,1.497,-,-
1989/09/20,22:00,1.249,1.173,-,-
1989/09/20,23:00,1.106,1.006,-,-
1989/09/21,00:00,1.193,1.067,-,-
1989/09/21,01:00,1.474,1.317,-,-
1989/09/21,02:00,1.838,1.682,-,-
1989/09/21,03:00,2.16,1.993,-,-
1989/09/21,04:00,2.376,2.271,-,-
1989/09/21,05:00,2.466,2.38,-,-
1989/09/21,06:00,2.405,2.371,-,-
1989/09/21,07:00,2.175,2.143,-,-
1989/09/21,08:00,1.82,1.844,-,-
1989/09/21,09:00,1.434,1.484,-,-
1989/09/21,10:00,1.12,1.228,-,-
1989/09/21,11:00,0.979,1.039,-,-
1989/09/21,12:00,1.069,1.07,-,-
1989/09/21,13:00,1.38,1.289,-,-
1989/09/21,14:00,1.814,1.689,-,-
1989/09/21,15:00,2.234,2.176,-,-
1989/09/21,16:00,2.544,2.505,-,-
1989/09/21,17:00,2.725,2.731,-,-
1989/09/21,18:00,2.768,2.795,-,-
1989/09/21,19:00,2.648,2.755,-,-
1989/09/21,20:00,2.378,2.566,-,-
1989/09/21,21:00,2.015,2.341,-,-
1989/09/21,22:00,1.637,2.115,-,-
1989/09/21,23:00,1.331,1.871,-,-
1989/09/22,00:00,1.184,1.811,-,-
1989/09/22,01:00,1.246,1.978,-,-
1989/09/22,02:00,1.491,2.457,-,-
1989/09/22,03:00,1.816,2.795,-,-
1989/09/22,04:00,2.109,4.331,-,-
1989/09/22,05:00,2.315,4.273,-,-
1989/09/22,06:00,2.411,3.356,-,-
1989/09/22,07:00,2.36,3.082,-,-
1989/09/22,08:00,2.15,2.612,-,-
1989/09/22,09:00,1.831,2.298,-,-
1989/09/22,10:00,1.484,1.817,-,-
1989/09/22,11:00,1.196,1.43,-,-
1989/09/22,12:00,1.055,1.082,-,-
1989/09/22,13:00,1.127,0.92,-,-
1989/09/22,14:00,1.406,1.052,-,-
1989/09/22,15:00,1.801,1.536,-,-
1989/09/22,16:00,2.185,1.939,-,-
1989/09/22,17:00,2.479,2.192,-,-
1989/09/22,18:00,2.663,2.365,-,-
1989/09/22,19:00,2.715,2.402,-,-
1989/09/22,20:00,2.612,2.292,-,-
1989/09/22,21:00,2.37,2.024,-,-
1989/09/22,22:00,2.041,1.649,-,-
1989/09/22,23:00,1.686,1.326,-,-
1989/09/23,00:00,1.384,1.067,-,-
1989/09/23,01:00,1.226,0.933,-,-
1989/09/23,02:00,1.27,1.015,-,-
1989/09/23,03:00,1.493,1.259,-,-
1989/09/23,04:00,1.794,1.625,-,-
